English,French,German,Spanish,
Ensure the expected start position matches the stack,S'assurer que la position de départ attendue correspond à la pile,"Stellen Sie sicher, dass die erwartete Startposition mit dem Stapel übereinstimmt",Asegurar que la posición inicial esperada coincida con la pila,
Add a stack,Ajouter une pile,Stapel hinzufügen,Agregar una pila,
Add a new box,Ajouter une nouvelle boîte,Box hinzufügen,Agregar una nueva caja,
Add new slip sheet,Ajouter une nouvelle feuille de glissement,Zwischenlage hinzufügen,Agregar nueva hoja deslizante,
Add a new pallet,Ajouter une nouvelle palette,Palette hinzufügen,Agregar un nuevo pallet,
Add a new layout,Ajouter un nouveau plan,Layout hinzufügen,Agregar un nuevo diseño,
Back,Retour,Zurück,Atrás,
Box Ready,Boîte prête,Box bereit,Caja lista,
Boxes,Boîtes,Boxen,Cajas,
Box,Boîte,Box,Caja,
Cancel,Annuler,Abbrechen,Cancelar,
Clear Selection,Désélectionner,Auswahl löschen,Borrar selección,
Clear,Effacer,Löschen,Borrar,
Confirm Left Pallet,Confirmer la palette gauche,Linke Palette bestätigen,Confirmar el pallet izquierdo,
Confirm Right Pallet,Confirmer la palette droite,Rechte Palette bestätigen,Confirmar el pallet derecho,
CONFIGURATION,Configuration,Konfiguration,Configuración,
Control Center,Centre de contrôle,Control Center,Centro de control,
Create And Edit Boxes,Créer et éditer des boîtes,Boxen erstellen und bearbeiten,Crear y editar cajas,
Create And Edit Pallets,Créer et éditer des palettes,Paletten erstellen und bearbeiten,Crear y editar pallets,
Create And Edit Layouts,Créer et éditer des mises en page,Layouts erstellen und bearbeiten,Crear y editar layouts,
Create And Edit Stacks,Créer et éditer des piles,Stapel erstellen und bearbeiten,Crear y editar stacks,
Create a slip sheet,Créer une feuille de glissement,Zwischenlage erstellen,Crear una hoja deslizante,
Create a layout,Créer une mise en page,Layout erstellen,Crear un diseño,
Create a stack,Créer une pile,Stapel erstellen,Crear un stack,
Create a pallet,Créer une palette,Palette erstellen,Crear una pallet,
Calibration,Étalonnage,Kalibrierung,Calibración,
Download,Télécharger,Herunterladen,Descargar,
Edit Left Pallet,Éditer la palette gauche,Linke Palette bearbeiten,Editar el pallet izquierdo,
Edit Right Pallet,Éditer la palette droite,Rechte Palette bearbeiten,Editar el pallet derecho,
Edit,Éditer,Bearbeiten,Editar,
Fault,Faute,Störung,Fallo,
Filter Pallet,Filtrer la palette,Palette wählen,Filtrar el pallet,
General,Général,Allgemein,General,
Goodbye,Au revoir,Auf Wiedersehen,Adiós,
Hello,Bonjour,Hallo,Hola,
Home,Accueil,Startpunkt,Inicio,
Imperial,Impérial,Imperial,Imperial,
Layer,Couche,Schicht,Capa,
Layers,Couches,Schichten,Capas,
Layouts,Dispositions,Layouts,Disposiciones,
Left Pallet,Palette gauche,Linke Palette,Pallet izquierdo,
MachineMotion Safety : Trigered,Sécurité MachineMotion : Déclenchée,MachineMotion Not-Aus: Ausgelöst,Seguridad MachineMotion: Activada,
Metric,Métrique,Metrisch,Métrico,
Next,Suivant,Weiter,Siguiente,
No stack selected,Aucune pile sélectionnée,Kein Stapel ausgewählt,Ningún stack seleccionado,
No,Non,Nein,No,
Pallet Full,Palette pleine,Palette voll,Pallet lleno,
Pallet Name,Nom de la palette,Paletten-Name,Nombre del pallet,
Pallet Present,Palette présente,Palette vorhanden,Paleta presente,
Palletizer,Palletiseur,Palettierer,Palletizador,
Palletizer Setup,Configuration du palettiseur,Palettisierer Konfiguration,Configuración del palletizador,
Pallets,Palettes,Paletten,Pallets,
PREFERENCES,Préférences,Einstellungen,Preferencias,
Play,JOUER,Start,JUGAR,
Ready,Prêt,Bereit,Listo,
Reconnect to Robot,Se reconnecter au robot,Roboter wiederverbinden,Reconectar al robot,
Release Gripper,Lâcher le gripper,Greifer lösen,Soltar el gripper,
Right Pallet,Palette droite,Rechte Palette,Pallet derecho,
Robot Safety : Resetting,Sécurité du robot : Réinitialisation,Roboter Not-Aus: Zurücksetzen,Seguridad del robot: Reinicio,
Robot Safety : Trigerred,Sécurité du robot : Déclenchée,Roboter Not-Aus: Ausgelöst,Seguridad del robot: Activada,
Running,En cours,In Betrieb,Ejecutando,
Save,Sauvegarder,Speichen,Guardar,
Search,Rechercher,Suchen,Buscar,
Slip Sheets,Feuilles de glissement,Zwischenlage,Hojas deslizantes,
Stacks,Piles,Stapel,Stacks,
START,DÉMARRER,START,INICIAR,
STOP,ARRÊT,STOP,DETENER,
Stopping,Arrêt,Stoppen,Deteniendo,
View Summary,Voir le résumé,Übersicht anzeigen,Ver resumen,
Summary,Résumé,Übersicht,Resumen,
Thank you,Merci,Danke,Gracias,
Total Boxes,Total des boîtes,Gesamtanzahl Boxen,Cajas totales,
Total Layers,Total des couches,Gesamtanzahl Schichten,Capas totales,
Total Height,Hauteur totale,Gesamthöhe,Altura total,
Total Weight,Poids total,Gesamtgewicht,Peso total,
Total SKUs,Total des SKUs,Gesamtanzahl SKUs,Total de SKUs,
Units,Unités,Einheit,Unidades,
Upload,Télécharger,Hochladen,Subir,
Yes,Oui,Ja,Sí,
1 of 1,1 de 1,1 von 1,1 de 1,
1 of 2,1 de 2,1 von 2,1 de 2,
1 of 3,1 de 3,1 von 3,1 de 3,
1 of 4,1 de 4,1 von 4,1 de 4,
2 of 2,2 de 2,2 von 2,2 de 2,
2 of 3,2 de 3,2 von 3,2 de 3,
2 of 4,2 de 4,2 von 4,2 de 4,
3 of 3,3 de 3,3 von 3,3 de 3,
3 of 4,3 de 4,3 von 4,3 de 4,
4 of 4,4 de 4,4 von 4,4 de 4,
